PING 1.1.1.1 (1.1.1.1) 56(84) bytes of data.
64 bytes from 1.1.1.1: icmp_seq=1 ttl=52 time=55.7 ms
64 bytes from 1.1.1.1: icmp_seq=2 ttl=52 time=53.3 ms
64 bytes from 1.1.1.1: icmp_seq=3 ttl=52 time=49.3 ms
64 bytes from 1.1.1.1: icmp_seq=4 ttl=52 time=38.4 ms
64 bytes from 1.1.1.1: icmp_seq=5 ttl=52 time=31.4 ms
64 bytes from 1.1.1.1: icmp_seq=6 ttl=52 time=35.7 ms
64 bytes from 1.1.1.1: icmp_seq=7 ttl=52 time=47.5 ms
64 bytes from 1.1.1.1: icmp_seq=8 ttl=52 time=58.3 ms
64 bytes from 1.1.1.1: icmp_seq=9 ttl=52 time=52.7 ms
64 bytes from 1.1.1.1: icmp_seq=10 ttl=52 time=56.0 ms
64 bytes from 1.1.1.1: icmp_seq=11 ttl=52 time=54.4 ms
64 bytes from 1.1.1.1: icmp_seq=12 ttl=52 time=69.5 ms
64 bytes from 1.1.1.1: icmp_seq=13 ttl=52 time=45.2 ms
64 bytes from 1.1.1.1: icmp_seq=14 ttl=52 time=48.4 ms
64 bytes from 1.1.1.1: icmp_seq=15 ttl=52 time=47.3 ms
64 bytes from 1.1.1.1: icmp_seq=16 ttl=52 time=45.4 ms
64 bytes from 1.1.1.1: icmp_seq=17 ttl=52 time=49.4 ms
64 bytes from 1.1.1.1: icmp_seq=18 ttl=52 time=53.3 ms
64 bytes from 1.1.1.1: icmp_seq=19 ttl=52 time=59.4 ms
64 bytes from 1.1.1.1: icmp_seq=20 ttl=52 time=53.3 ms
64 bytes from 1.1.1.1: icmp_seq=21 ttl=52 time=54.3 ms
64 bytes from 1.1.1.1: icmp_seq=22 ttl=52 time=59.1 ms
64 bytes from 1.1.1.1: icmp_seq=23 ttl=52 time=74.7 ms
64 bytes from 1.1.1.1: icmp_seq=24 ttl=52 time=53.6 ms
64 bytes from 1.1.1.1: icmp_seq=25 ttl=52 time=39.2 ms
64 bytes from 1.1.1.1: icmp_seq=26 ttl=52 time=44.1 ms
64 bytes from 1.1.1.1: icmp_seq=27 ttl=52 time=39.4 ms
64 bytes from 1.1.1.1: icmp_seq=28 ttl=52 time=42.2 ms
64 bytes from 1.1.1.1: icmp_seq=29 ttl=52 time=39.3 ms
64 bytes from 1.1.1.1: icmp_seq=30 ttl=52 time=64.4 ms
64 bytes from 1.1.1.1: icmp_seq=31 ttl=52 time=48.4 ms
64 bytes from 1.1.1.1: icmp_seq=32 ttl=52 time=63.3 ms
64 bytes from 1.1.1.1: icmp_seq=33 ttl=52 time=61.3 ms
64 bytes from 1.1.1.1: icmp_seq=34 ttl=52 time=48.5 ms
64 bytes from 1.1.1.1: icmp_seq=35 ttl=52 time=47.3 ms
64 bytes from 1.1.1.1: icmp_seq=36 ttl=52 time=57.2 ms
64 bytes from 1.1.1.1: icmp_seq=37 ttl=52 time=36.4 ms
64 bytes from 1.1.1.1: icmp_seq=38 ttl=52 time=41.5 ms
64 bytes from 1.1.1.1: icmp_seq=39 ttl=52 time=41.3 ms
64 bytes from 1.1.1.1: icmp_seq=40 ttl=52 time=32.6 ms
64 bytes from 1.1.1.1: icmp_seq=41 ttl=52 time=45.2 ms
64 bytes from 1.1.1.1: icmp_seq=42 ttl=52 time=43.1 ms
64 bytes from 1.1.1.1: icmp_seq=43 ttl=52 time=51.9 ms
64 bytes from 1.1.1.1: icmp_seq=44 ttl=52 time=50.3 ms
64 bytes from 1.1.1.1: icmp_seq=45 ttl=52 time=62.3 ms
64 bytes from 1.1.1.1: icmp_seq=46 ttl=52 time=60.4 ms
64 bytes from 1.1.1.1: icmp_seq=47 ttl=52 time=58.3 ms
64 bytes from 1.1.1.1: icmp_seq=48 ttl=52 time=55.3 ms
64 bytes from 1.1.1.1: icmp_seq=49 ttl=52 time=53.6 ms
64 bytes from 1.1.1.1: icmp_seq=50 ttl=52 time=51.4 ms
64 bytes from 1.1.1.1: icmp_seq=51 ttl=52 time=49.8 ms
64 bytes from 1.1.1.1: icmp_seq=52 ttl=52 time=34.4 ms
