PING 1.1.1.1 (1.1.1.1) 56(84) bytes of data.
64 bytes from 1.1.1.1: icmp_seq=82 ttl=52 time=32.4 ms
64 bytes from 1.1.1.1: icmp_seq=83 ttl=52 time=31.8 ms
64 bytes from 1.1.1.1: icmp_seq=84 ttl=52 time=51.0 ms
64 bytes from 1.1.1.1: icmp_seq=85 ttl=52 time=28.4 ms
64 bytes from 1.1.1.1: icmp_seq=86 ttl=52 time=46.4 ms
64 bytes from 1.1.1.1: icmp_seq=87 ttl=52 time=26.1 ms
64 bytes from 1.1.1.1: icmp_seq=88 ttl=52 time=25.0 ms
64 bytes from 1.1.1.1: icmp_seq=89 ttl=52 time=49.6 ms
64 bytes from 1.1.1.1: icmp_seq=90 ttl=52 time=82.4 ms
64 bytes from 1.1.1.1: icmp_seq=91 ttl=52 time=78.3 ms
64 bytes from 1.1.1.1: icmp_seq=92 ttl=52 time=42.9 ms
64 bytes from 1.1.1.1: icmp_seq=93 ttl=52 time=41.7 ms
64 bytes from 1.1.1.1: icmp_seq=94 ttl=52 time=72.1 ms
64 bytes from 1.1.1.1: icmp_seq=95 ttl=52 time=73.5 ms
64 bytes from 1.1.1.1: icmp_seq=96 ttl=52 time=79.0 ms
64 bytes from 1.1.1.1: icmp_seq=97 ttl=52 time=37.9 ms
64 bytes from 1.1.1.1: icmp_seq=98 ttl=52 time=27.8 ms
64 bytes from 1.1.1.1: icmp_seq=99 ttl=52 time=49.3 ms
64 bytes from 1.1.1.1: icmp_seq=100 ttl=52 time=83.9 ms
64 bytes from 1.1.1.1: icmp_seq=101 ttl=52 time=28.6 ms
64 bytes from 1.1.1.1: icmp_seq=102 ttl=52 time=44.9 ms
64 bytes from 1.1.1.1: icmp_seq=103 ttl=52 time=24.0 ms
64 bytes from 1.1.1.1: icmp_seq=104 ttl=52 time=26.8 ms
64 bytes from 1.1.1.1: icmp_seq=105 ttl=52 time=27.6 ms
64 bytes from 1.1.1.1: icmp_seq=106 ttl=52 time=37.3 ms
64 bytes from 1.1.1.1: icmp_seq=107 ttl=52 time=116 ms
64 bytes from 1.1.1.1: icmp_seq=108 ttl=52 time=35.3 ms
64 bytes from 1.1.1.1: icmp_seq=109 ttl=52 time=53.4 ms
64 bytes from 1.1.1.1: icmp_seq=110 ttl=52 time=30.7 ms
64 bytes from 1.1.1.1: icmp_seq=111 ttl=52 time=54.7 ms
64 bytes from 1.1.1.1: icmp_seq=112 ttl=52 time=28.0 ms
64 bytes from 1.1.1.1: icmp_seq=113 ttl=52 time=52.7 ms
64 bytes from 1.1.1.1: icmp_seq=114 ttl=52 time=25.7 ms
64 bytes from 1.1.1.1: icmp_seq=115 ttl=52 time=45.5 ms
64 bytes from 1.1.1.1: icmp_seq=116 ttl=52 time=47.1 ms
64 bytes from 1.1.1.1: icmp_seq=117 ttl=52 time=44.8 ms
64 bytes from 1.1.1.1: icmp_seq=118 ttl=52 time=134 ms
64 bytes from 1.1.1.1: icmp_seq=119 ttl=52 time=49.7 ms
64 bytes from 1.1.1.1: icmp_seq=120 ttl=52 time=41.8 ms
64 bytes from 1.1.1.1: icmp_seq=121 ttl=52 time=87.5 ms
64 bytes from 1.1.1.1: icmp_seq=122 ttl=52 time=35.9 ms
64 bytes from 1.1.1.1: icmp_seq=123 ttl=52 time=35.4 ms
64 bytes from 1.1.1.1: icmp_seq=124 ttl=52 time=54.0 ms
64 bytes from 1.1.1.1: icmp_seq=125 ttl=52 time=47.3 ms
64 bytes from 1.1.1.1: icmp_seq=126 ttl=52 time=46.1 ms
64 bytes from 1.1.1.1: icmp_seq=127 ttl=52 time=29.9 ms
64 bytes from 1.1.1.1: icmp_seq=128 ttl=52 time=43.3 ms
64 bytes from 1.1.1.1: icmp_seq=129 ttl=52 time=43.4 ms
64 bytes from 1.1.1.1: icmp_seq=130 ttl=52 time=72.1 ms
64 bytes from 1.1.1.1: icmp_seq=131 ttl=52 time=39.4 ms
64 bytes from 1.1.1.1: icmp_seq=132 ttl=52 time=36.8 ms
64 bytes from 1.1.1.1: icmp_seq=133 ttl=52 time=36.6 ms
64 bytes from 1.1.1.1: icmp_seq=134 ttl=52 time=55.3 ms
64 bytes from 1.1.1.1: icmp_seq=135 ttl=52 time=51.4 ms
64 bytes from 1.1.1.1: icmp_seq=136 ttl=52 time=49.9 ms
64 bytes from 1.1.1.1: icmp_seq=137 ttl=52 time=30.8 ms
64 bytes from 1.1.1.1: icmp_seq=138 ttl=52 time=29.4 ms
64 bytes from 1.1.1.1: icmp_seq=139 ttl=52 time=46.8 ms
64 bytes from 1.1.1.1: icmp_seq=140 ttl=52 time=44.9 ms
64 bytes from 1.1.1.1: icmp_seq=141 ttl=52 time=43.0 ms
64 bytes from 1.1.1.1: icmp_seq=142 ttl=52 time=51.3 ms
64 bytes from 1.1.1.1: icmp_seq=143 ttl=52 time=79.1 ms
64 bytes from 1.1.1.1: icmp_seq=144 ttl=52 time=39.5 ms
64 bytes from 1.1.1.1: icmp_seq=145 ttl=52 time=59.3 ms
64 bytes from 1.1.1.1: icmp_seq=146 ttl=52 time=44.7 ms
64 bytes from 1.1.1.1: icmp_seq=147 ttl=52 time=234 ms
64 bytes from 1.1.1.1: icmp_seq=148 ttl=52 time=40.8 ms
64 bytes from 1.1.1.1: icmp_seq=149 ttl=52 time=38.9 ms
64 bytes from 1.1.1.1: icmp_seq=150 ttl=52 time=55.3 ms
64 bytes from 1.1.1.1: icmp_seq=151 ttl=52 time=51.7 ms
64 bytes from 1.1.1.1: icmp_seq=152 ttl=52 time=33.6 ms
64 bytes from 1.1.1.1: icmp_seq=153 ttl=52 time=66.8 ms
64 bytes from 1.1.1.1: icmp_seq=154 ttl=52 time=31.0 ms
64 bytes from 1.1.1.1: icmp_seq=155 ttl=52 time=68.9 ms
64 bytes from 1.1.1.1: icmp_seq=156 ttl=52 time=42.9 ms
64 bytes from 1.1.1.1: icmp_seq=157 ttl=52 time=41.9 ms
64 bytes from 1.1.1.1: icmp_seq=158 ttl=52 time=24.3 ms
64 bytes from 1.1.1.1: icmp_seq=159 ttl=52 time=42.1 ms
64 bytes from 1.1.1.1: icmp_seq=160 ttl=52 time=36.8 ms
64 bytes from 1.1.1.1: icmp_seq=161 ttl=52 time=37.7 ms
64 bytes from 1.1.1.1: icmp_seq=162 ttl=52 time=34.8 ms
64 bytes from 1.1.1.1: icmp_seq=163 ttl=52 time=33.9 ms
64 bytes from 1.1.1.1: icmp_seq=164 ttl=52 time=48.8 ms
64 bytes from 1.1.1.1: icmp_seq=165 ttl=52 time=124 ms
64 bytes from 1.1.1.1: icmp_seq=166 ttl=52 time=47.4 ms
64 bytes from 1.1.1.1: icmp_seq=167 ttl=52 time=29.7 ms
64 bytes from 1.1.1.1: icmp_seq=168 ttl=52 time=52.9 ms
64 bytes from 1.1.1.1: icmp_seq=169 ttl=52 time=43.8 ms
64 bytes from 1.1.1.1: icmp_seq=170 ttl=52 time=63.8 ms
64 bytes from 1.1.1.1: icmp_seq=171 ttl=52 time=46.7 ms
64 bytes from 1.1.1.1: icmp_seq=172 ttl=52 time=41.8 ms
64 bytes from 1.1.1.1: icmp_seq=173 ttl=52 time=67.3 ms
64 bytes from 1.1.1.1: icmp_seq=174 ttl=52 time=42.5 ms
64 bytes from 1.1.1.1: icmp_seq=175 ttl=52 time=40.0 ms

--- 1.1.1.1 ping statistics ---
175 packets transmitted, 175 received, 0% packet loss, time 174253ms
rtt min/avg/max/mdev = 24.078/51.065/234.447/24.672 ms
