PING 1.1.1.1 (1.1.1.1) 56(84) bytes of data.
64 bytes from 1.1.1.1: icmp_seq=82 ttl=52 time=50.0 ms
64 bytes from 1.1.1.1: icmp_seq=83 ttl=52 time=124 ms
64 bytes from 1.1.1.1: icmp_seq=84 ttl=52 time=42.8 ms
64 bytes from 1.1.1.1: icmp_seq=85 ttl=52 time=73.8 ms
64 bytes from 1.1.1.1: icmp_seq=86 ttl=52 time=102 ms
64 bytes from 1.1.1.1: icmp_seq=87 ttl=52 time=500 ms
64 bytes from 1.1.1.1: icmp_seq=88 ttl=52 time=34.1 ms
64 bytes from 1.1.1.1: icmp_seq=89 ttl=52 time=43.7 ms
64 bytes from 1.1.1.1: icmp_seq=90 ttl=52 time=79.8 ms
64 bytes from 1.1.1.1: icmp_seq=91 ttl=52 time=80.1 ms
64 bytes from 1.1.1.1: icmp_seq=92 ttl=52 time=67.9 ms
64 bytes from 1.1.1.1: icmp_seq=93 ttl=52 time=52.0 ms
64 bytes from 1.1.1.1: icmp_seq=94 ttl=52 time=49.7 ms
64 bytes from 1.1.1.1: icmp_seq=95 ttl=52 time=74.0 ms
64 bytes from 1.1.1.1: icmp_seq=96 ttl=52 time=48.9 ms
64 bytes from 1.1.1.1: icmp_seq=97 ttl=52 time=47.8 ms
64 bytes from 1.1.1.1: icmp_seq=98 ttl=52 time=52.4 ms
64 bytes from 1.1.1.1: icmp_seq=99 ttl=52 time=65.0 ms
64 bytes from 1.1.1.1: icmp_seq=100 ttl=52 time=40.3 ms
64 bytes from 1.1.1.1: icmp_seq=101 ttl=52 time=42.8 ms
64 bytes from 1.1.1.1: icmp_seq=102 ttl=52 time=39.8 ms
64 bytes from 1.1.1.1: icmp_seq=103 ttl=52 time=41.1 ms
64 bytes from 1.1.1.1: icmp_seq=104 ttl=52 time=36.0 ms
64 bytes from 1.1.1.1: icmp_seq=105 ttl=52 time=35.0 ms
64 bytes from 1.1.1.1: icmp_seq=106 ttl=52 time=35.6 ms
64 bytes from 1.1.1.1: icmp_seq=107 ttl=52 time=50.0 ms
64 bytes from 1.1.1.1: icmp_seq=108 ttl=52 time=29.5 ms
64 bytes from 1.1.1.1: icmp_seq=109 ttl=52 time=29.0 ms
64 bytes from 1.1.1.1: icmp_seq=110 ttl=52 time=50.0 ms
64 bytes from 1.1.1.1: icmp_seq=111 ttl=52 time=46.1 ms
64 bytes from 1.1.1.1: icmp_seq=112 ttl=52 time=27.7 ms
64 bytes from 1.1.1.1: icmp_seq=113 ttl=52 time=47.2 ms
64 bytes from 1.1.1.1: icmp_seq=114 ttl=52 time=157 ms
64 bytes from 1.1.1.1: icmp_seq=115 ttl=52 time=124 ms
64 bytes from 1.1.1.1: icmp_seq=116 ttl=52 time=44.1 ms
64 bytes from 1.1.1.1: icmp_seq=117 ttl=52 time=43.0 ms
64 bytes from 1.1.1.1: icmp_seq=118 ttl=52 time=40.4 ms
64 bytes from 1.1.1.1: icmp_seq=119 ttl=52 time=44.7 ms
64 bytes from 1.1.1.1: icmp_seq=120 ttl=52 time=30.8 ms
64 bytes from 1.1.1.1: icmp_seq=121 ttl=52 time=60.9 ms
64 bytes from 1.1.1.1: icmp_seq=122 ttl=52 time=57.8 ms
64 bytes from 1.1.1.1: icmp_seq=123 ttl=52 time=47.5 ms
64 bytes from 1.1.1.1: icmp_seq=124 ttl=52 time=49.4 ms
64 bytes from 1.1.1.1: icmp_seq=125 ttl=52 time=32.6 ms
64 bytes from 1.1.1.1: icmp_seq=126 ttl=52 time=57.4 ms
64 bytes from 1.1.1.1: icmp_seq=127 ttl=52 time=61.0 ms
64 bytes from 1.1.1.1: icmp_seq=128 ttl=52 time=29.6 ms
64 bytes from 1.1.1.1: icmp_seq=129 ttl=52 time=63.8 ms
64 bytes from 1.1.1.1: icmp_seq=130 ttl=52 time=55.0 ms
64 bytes from 1.1.1.1: icmp_seq=131 ttl=52 time=53.7 ms
64 bytes from 1.1.1.1: icmp_seq=132 ttl=52 time=54.8 ms
64 bytes from 1.1.1.1: icmp_seq=133 ttl=52 time=50.0 ms
64 bytes from 1.1.1.1: icmp_seq=134 ttl=52 time=52.6 ms
64 bytes from 1.1.1.1: icmp_seq=135 ttl=52 time=31.5 ms
64 bytes from 1.1.1.1: icmp_seq=136 ttl=52 time=36.2 ms
64 bytes from 1.1.1.1: icmp_seq=137 ttl=52 time=41.4 ms
64 bytes from 1.1.1.1: icmp_seq=138 ttl=52 time=94.4 ms
64 bytes from 1.1.1.1: icmp_seq=139 ttl=52 time=47.5 ms
64 bytes from 1.1.1.1: icmp_seq=140 ttl=52 time=45.6 ms
64 bytes from 1.1.1.1: icmp_seq=141 ttl=52 time=45.0 ms
64 bytes from 1.1.1.1: icmp_seq=142 ttl=52 time=42.6 ms
64 bytes from 1.1.1.1: icmp_seq=143 ttl=52 time=41.2 ms
64 bytes from 1.1.1.1: icmp_seq=144 ttl=52 time=29.8 ms
64 bytes from 1.1.1.1: icmp_seq=145 ttl=52 time=52.8 ms
64 bytes from 1.1.1.1: icmp_seq=146 ttl=52 time=61.4 ms
64 bytes from 1.1.1.1: icmp_seq=147 ttl=52 time=49.1 ms
64 bytes from 1.1.1.1: icmp_seq=148 ttl=52 time=68.8 ms
64 bytes from 1.1.1.1: icmp_seq=149 ttl=52 time=32.0 ms
64 bytes from 1.1.1.1: icmp_seq=150 ttl=52 time=45.6 ms
64 bytes from 1.1.1.1: icmp_seq=151 ttl=52 time=28.8 ms
64 bytes from 1.1.1.1: icmp_seq=152 ttl=52 time=44.7 ms
64 bytes from 1.1.1.1: icmp_seq=153 ttl=52 time=30.5 ms
64 bytes from 1.1.1.1: icmp_seq=154 ttl=52 time=50.0 ms
64 bytes from 1.1.1.1: icmp_seq=155 ttl=52 time=39.8 ms
64 bytes from 1.1.1.1: icmp_seq=156 ttl=52 time=75.4 ms
64 bytes from 1.1.1.1: icmp_seq=157 ttl=52 time=36.0 ms
64 bytes from 1.1.1.1: icmp_seq=158 ttl=52 time=54.3 ms
64 bytes from 1.1.1.1: icmp_seq=159 ttl=52 time=48.4 ms
64 bytes from 1.1.1.1: icmp_seq=160 ttl=52 time=32.5 ms
