[RTX-GST] RTP_RX pkts=2640 meta=2640 frames_rx=2639
[RTX-GST] RTP_RX pkts=2670 meta=2670 frames_rx=2669
[RTX-GST] RTP_RX pkts=2700 meta=2700 frames_rx=2699
[RTX-GST] RTP_RX pkts=2730 meta=2730 frames_rx=2729
[RTX-GST] RTP_RX pkts=2760 meta=2760 frames_rx=2759
[RTX-GST] RTP_RX pkts=2790 meta=2790 frames_rx=2789
[RTX-GST] RTP_RX pkts=2820 meta=2820 frames_rx=2819
[RTX-GST] RTP_RX pkts=2850 meta=2850 frames_rx=2849
[RTX-GST] RTP_RX pkts=2880 meta=2880 frames_rx=2879
[RTX-GST] RTP_RX pkts=2910 meta=2910 frames_rx=2909
[RTX-GST] RTP_RX pkts=2940 meta=2940 frames_rx=2939
[RTX-GST] RTP_RX pkts=2970 meta=2970 frames_rx=2969
[RTX-GST] RTP_RX pkts=3000 meta=3000 frames_rx=2999
[RTX-GST] RTP_RX pkts=3030 meta=3030 frames_rx=3029
[RTX-GST] RTP_RX pkts=3060 meta=3060 frames_rx=3059
[RTX-GST] RTP_RX pkts=3090 meta=3090 frames_rx=3089
[RTX-GST] RTP_RX pkts=3120 meta=3120 frames_rx=3119
[RTX-GST] RTP_RX pkts=3150 meta=3150 frames_rx=3149
[RTX-GST] RTP_RX pkts=3180 meta=3180 frames_rx=3179
[RTX-GST] RTP_RX pkts=3210 meta=3210 frames_rx=3209
[RTX-GST] RTP_RX pkts=3240 meta=3240 frames_rx=3239
[RTX-GST] RTP_RX pkts=3270 meta=3270 frames_rx=3269
[RTX-GST] RTP_RX pkts=3300 meta=3300 frames_rx=3299
[RTX-GST] RTP_RX pkts=3330 meta=3330 frames_rx=3329
[RTX-GST] RTP_RX pkts=3360 meta=3360 frames_rx=3359
[RTX-GST] RTP_RX pkts=3390 meta=3390 frames_rx=3389
[RTX-GST] RTP_RX pkts=3420 meta=3420 frames_rx=3419
[RTX-GST] RTP_RX pkts=3450 meta=3450 frames_rx=3449
[RTX-GST] RTP_RX pkts=3480 meta=3480 frames_rx=3479
